ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,review_type,problem_type
1,77,18,2023-12-23,3,"Average  experience,  nothing  special.",0,Other/Unclear
2,80,19,2024-12-25,5,The  quality  is    top-notch.,1,none
3,50,13,2025-01-26,4,Five  stars  for  the  quick  delivery.,1,none
4,78,15,2025-04-21,3,"Good  quality,  but  could  be  cheaper.",0,Price/Value
5,64,2,2023-07-16,3,"Average  experience,  nothing  special.",0,Other/Unclear
6,81,1,2025-12-21,4,Customer  support  was  very  helpful.,1,none
7,16,1,2024-01-29,3,"Average  experience,  nothing  special.",0,Other/Unclear
8,55,8,2024-08-15,5,The  quality    is  top-notch.,1,none
9,3,13,2023-09-01,4,"I  love  this  product,  will  buy  again!",1,none
10,78,6,2024-06-17,5,"Excellent  product,  highly  recommend!",1,none
11,54,9,2023-07-17,4,"Great  purchase,  very  satisfied.",1,none
12,77,2,2025-01-13,2,Product  did    not  meet  my  expectations.,0,Product Quality/Performance
13,93,6,2024-08-20,5,"Great  purchase,  very  satisfied.",1,none
14,23,2,2025-06-16,4,"Good  quality,  but  could  be  cheaper.",0,Price/Value
15,29,11,2023-01-27,5,"Great  purchase,  very  satisfied.",1,none
16,95,17,2023-01-06,5,"Excellent  product,  highly  recommend!",1,none
17,88,4,2025-10-29,3,Not  worth  the  money.,0,Price/Value
18,17,16,2024-11-23,4,Shipping  was  fast  and  the  item  was  well-packaged.,1,none
19,34,13,2024-01-04,4,The  quality  is  top-notch.,1,none
20,34,6,2023-04-29,1,I  had  a  bad  experience  with  this  product.,0,Other/Unclear
21,22,15,2023-04-08,5,Amazing  value  for  the  price.,1,none
22,52,3,2025-10-30,4,The  quality  is  top-notch.,1,none
23,69,18,2023-07-02,5,Five  stars  for  the  quick  delivery.,1,none
24,100,4,2025-07-18,3,"I  love  this    product,  will  buy  again!",1,none
25,55,20,2024-12-19,4,Shipping  was  fast  and  the  item  was  well-packaged.,1,none
26,76,11,2024-08-21,4,Five  stars  for  the  quick  delivery.,1,none
27,56,6,2025-11-24,4,The  quality  is  top-notch.,1,none
28,76,8,2025-05-27,5,Five  stars  for  the  quick  delivery.,1,none
29,38,13,2023-05-31,4,"I  love  this  product,  will  buy  again!",1,none
30,84,6,2024-03-18,4,Five  stars  for  the  quick  delivery.,1,none
31,93,4,2025-08-25,3,"Good  quality,  but  could  be    cheaper.",0,Price/Value
32,91,1,2023-07-15,4,The  quality  is  top-notch.,1,none
33,30,2,2023-02-21,4,Shipping  was  fast  and  the  item  was  well-packaged.,1,none
34,81,15,2024-03-30,5,"Excellent  product,  highly  recommend!",1,none
35,27,12,2024-03-13,3,"Average  experience,  nothing  special.",0,Other/Unclear
36,96,9,2025-12-05,3,"Good  quality,  but  could  be  cheaper.",0,Price/Value
37,38,3,2023-09-11,3,"Average  experience,  nothing    special.",0,Other/Unclear
38,45,17,2024-05-07,5,"Great  purchase,  very  satisfied.",1,none
39,54,1,2023-10-02,5,Customer  support  was  very  helpful.,1,none
40,33,2,2025-01-03,5,Five  stars    for  the  quick  delivery.,1,none
41,93,17,2025-05-15,3,"Average  experience,  nothing  special.",0,Other/Unclear
42,72,15,2023-03-21,5,Five  stars  for  the  quick  delivery.,1,none
43,84,15,2025-02-02,4,Exceeded  my    expectations!,1,none
44,44,17,2023-04-20,5,"Excellent  product,    highly  recommend!",1,none
45,11,16,2023-03-23,3,Not  worth  the  money.,0,Price/Value
46,27,5,2025-05-07,4,Five  stars  for  the  quick  delivery.,1,none
47,19,13,2024-06-01,4,Five  stars  for  the  quick  delivery.,1,none
48,70,17,2023-10-08,4,Shipping  was  fast  and  the  item    was  well-packaged.,1,none
49,3,7,2025-06-09,3,"Good  quality,  but  could    be  cheaper.",0,Price/Value
50,62,4,2023-01-07,1,The  product  stopped  working  after  a  month.,0,Product Quality/Performance
51,49,17,2023-04-14,4,Five  stars  for  the  quick  delivery.,1,none
52,75,11,2024-04-07,4,"I  love  this  product,  will  buy  again!",1,none
53,73,18,2025-12-28,4,Five  stars  for    the  quick  delivery.,1,none
54,33,8,2023-05-03,5,"Excellent  product,  highly  recommend!",1,none
55,57,9,2025-11-03,3,Customer  support  was    very  helpful.,1,none
56,15,10,2025-12-11,3,Shipping  was  fast  and  the  item  was  well-packaged.,1,none
57,41,10,2024-04-06,2,Disappointed  with  the  performance.,0,Product Quality/Performance
58,78,7,2024-07-16,2,"The  product    is  okay,  but  the  instructions  were  unclear.",0,Instructions/Usability
59,98,9,2024-09-01,4,The  build  quality  is  impressive.,1,none
60,11,16,2023-12-27,4,"Great  purchase,  very  satisfied.",1,none
61,50,19,2023-02-24,4,"Great  purchase,    very  satisfied.",1,none
62,35,17,2023-03-18,2,"Average  experience,  nothing  special.",0,Other/Unclear
63,93,2,2025-01-05,4,Five  stars  for  the  quick  delivery.,1,none
64,86,11,2025-10-30,4,Customer  support  was  very  helpful.,1,none
65,34,3,2024-06-15,1,Not  worth  the  money.,0,Price/Value
66,94,16,2023-06-17,4,"I  love  this  product,  will  buy    again!",1,none
67,67,13,2025-04-12,3,"Average  experience,  nothing  special.",0,Other/Unclear
68,38,7,2023-03-23,3,"The  product  is  okay,  but  the  instructions  were  unclear.",0,Instructions/Usability
69,77,12,2025-08-03,3,Five  stars  for  the  quick  delivery.,1,none
70,93,5,2024-01-30,4,Shipping  was  fast    and  the  item  was  well-packaged.,1,none
71,24,11,2025-07-28,3,"Good  quality,  but  could  be  cheaper.",0,Price/Value
72,29,4,2023-05-29,5,The    build  quality  is  impressive.,1,none
73,68,19,2025-05-05,5,"I  love  this  product,  will  buy  again!",1,none
74,59,9,2023-05-16,3,"The  product  is  okay,  but  the  instructions  were  unclear.",0,Instructions/Usability
75,22,3,2024-01-13,5,Shipping  was  fast  and  the  item  was  well-packaged.,1,none
76,9,10,2025-08-31,4,"Great  purchase,  very  satisfied.",1,none
77,74,5,2023-03-15,4,"Great  purchase,    very  satisfied.",1,none
78,6,10,2024-12-09,5,Five  stars  for  the  quick  delivery.,1,none
79,84,15,2024-05-28,2,The  product  arrived    late.,0,Shipping/Delivery
80,98,16,2025-05-24,3,Not  worth  the  money.,0,Price/Value
81,3,19,2024-09-04,4,Five  stars  for  the  quick  delivery.,1,none
82,78,13,2023-05-02,4,Shipping    was  fast  and  the  item  was  well-packaged.,1,none
83,32,11,2025-05-26,4,The  quality  is    top-notch.,1,none
84,40,20,2023-07-17,4,"Good  quality,  but  could  be  cheaper.",0,Price/Value
85,17,6,2025-10-25,5,Five  stars  for  the  quick  delivery.,1,none
86,78,3,2025-10-06,5,"Excellent  product,  highly  recommend!",1,none
87,89,17,2023-05-26,3,Not    worth  the  money.,0,Price/Value
88,93,19,2025-08-26,4,Exceeded  my  expectations!,1,none
89,60,3,2024-07-08,3,The  quality  is  top-notch.,1,none
90,47,17,2025-11-12,4,Five  stars  for  the  quick  delivery.,1,none
91,4,16,2025-09-27,3,"Great  purchase,  very  satisfied.",1,none
92,2,16,2023-11-21,3,Not  worth  the  money.,0,Price/Value
93,60,13,2024-09-05,3,Not  worth  the  money.,0,Price/Value
94,2,16,2025-03-14,4,The  quality  is  top-notch.,1,none
95,16,16,2024-04-07,4,Shipping  was  fast  and  the  item  was  well-packaged.,1,none
96,19,13,2023-09-02,3,"Good  quality,  but  could  be  cheaper.",0,Price/Value
97,64,6,2024-01-19,3,"The  product  is  okay,  but  the  instructions  were  unclear.",0,Instructions/Usability
98,96,3,2025-11-20,5,Exceeded  my  expectations!,1,none
99,79,16,2025-01-29,2,"Average  experience,  nothing  special.",0,Other/Unclear
100,9,2,2025-06-20,3,Not  worth  the  money.,0,Price/Value
101,61,18,2024-09-11,5,The  build  quality  is  impressive.,1,none
102,4,2,2025-08-22,5,"Excellent  product,  highly  recommend!",1,none
103,82,14,2024-11-17,5,The  quality  is  top-notch.,1,none
104,96,5,2023-01-06,4,"I  love    this  product,  will  buy  again!",1,none
105,32,12,2024-08-27,2,The  product    arrived  late.,0,Shipping/Delivery
106,94,17,2024-02-25,2,"Average  experience,  nothing  special.",0,Other/Unclear
107,26,10,2025-02-17,5,Five  stars  for    the  quick  delivery.,1,none
108,80,17,2023-12-22,5,Five  stars  for  the    quick  delivery.,1,none
109,38,10,2023-07-25,4,Customer  support  was  very  helpful.,1,none
110,54,12,2024-08-02,4,Customer    support  was  very  helpful.,1,none
111,43,7,2023-11-05,4,Five  stars  for  the  quick  delivery.,1,none
112,87,3,2023-05-26,5,"Excellent  product,  highly  recommend!",1,none
113,27,9,2024-03-31,2,Disappointed  with  the  performance.,0,Product Quality/Performance
114,52,19,2025-05-04,2,"Average  experience,  nothing  special.",0,Other/Unclear
115,82,9,2023-09-28,4,Five  stars  for  the  quick  delivery.,1,none
116,70,18,2023-07-23,4,The  quality  is  top-notch.,1,none
117,20,14,2025-04-19,4,Customer  support  was  very  helpful.,1,none
118,59,6,2024-05-01,1,The  product  arrived  late.,0,Shipping/Delivery
119,34,5,2025-09-06,4,"Great  purchase,  very    satisfied.",1,none
120,3,20,2024-08-18,4,The  quality  is  top-notch.,1,none
121,91,1,2025-11-02,2,"Good  quality,  but  could  be  cheaper.",0,Price/Value
122,83,14,2024-09-27,2,Not  worth  the  money.,0,Price/Value
123,93,1,2025-09-22,4,"Good  quality,  but  could  be  cheaper.",0,Price/Value
124,36,16,2023-07-17,5,Customer  support  was  very  helpful.,1,none
125,55,11,2025-12-20,5,"I  love  this  product,  will  buy  again!",1,none
126,32,10,2024-08-12,5,Exceeded  my  expectations!,1,none
127,47,8,2025-03-25,4,"Great  purchase,  very  satisfied.",1,none
128,71,20,2023-12-13,2,"Average  experience,  nothing  special.",0,Other/Unclear
129,46,13,2025-02-14,4,"Good  quality,  but  could  be  cheaper.",0,Price/Value
